[11:11:12 AM] --- Connect button clicked ---
[11:11:12 AM] Requesting Bluetooth device (acceptAllDevices: true)...
[11:11:15 AM] Device selected: name=M5BestTeam, id=sLKya1ZjOnqf7/PFY1AAAg==
[11:11:16 AM] GATT server connected.
[11:11:16 AM] Enumerating primary services & characteristics...
[11:11:18 AM]  Service: 6e400001-b5a3-f393-e0a9-e50e24dcca9e
[11:11:18 AM]    Characteristic: 6e400002-b5a3-f393-e0a9-e50e24dcca9e (props: )
[11:11:18 AM]    Characteristic: 6e400003-b5a3-f393-e0a9-e50e24dcca9e (props: )
[11:11:18 AM] Service/characteristic enumeration complete.
[11:11:18 AM] Getting NUS service 6e400001-b5a3-f393-e0a9-e50e24dcca9e ...
[11:11:18 AM] NUS service obtained.
[11:11:18 AM] Getting RX characteristic 6e400002-b5a3-f393-e0a9-e50e24dcca9e ...
[11:11:18 AM] RX characteristic obtained.
[11:11:18 AM] Getting TX characteristic 6e400003-b5a3-f393-e0a9-e50e24dcca9e ...
[11:11:18 AM] TX characteristic obtained.
[11:11:18 AM] Starting notifications on TX characteristic...
[11:11:18 AM] Notifications started.
[11:11:18 AM] Connection complete. You can now send data.
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "Unknown"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "R:71 G:90 B:87"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "A768"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "B176"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "Unknown"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "R:71 G:90 B:87"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "A776"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "B175"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "Unknown"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "R:71 G:90 B:87"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "A759"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "B166"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "Unknown"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "R:71 G:90 B:87"
[11:11:18 AM] From sLKya1ZjOnqf7/PFY1AAAg== (M5BestTeam): "A785"
